city,latitude,longitude
"Liverpool, NY",43.106456,-76.217705
"San Jose, CA",37.3361663,-121.890591
"Valdosta, GA",30.8327022,-83.2784851
"Fullerton, CA",33.8708215,-117.9294165
"Erlangen, BY, Germany",49.5928616,11.0056
"Chengdu, SC, China",35.0,105.0
"Fulton, MD",39.1509408,-76.9230307
"Charleston, SC",32.7884363,-79.9399309
"Greenwich, CT",41.0264862,-73.6284598
"Traverse City, MI",44.7606441,-85.6165301
"Weston, FL",26.1003392,-80.399513
"North Haven, CT",41.3909305,-72.859545
"Rockville, MD",39.0817985,-77.1516844
"Charlottesville, VA",38.029306,-78.4766781
"Moline, IL",41.5058344,-90.5136642
"Mumbai, MH, India",22.0,79.0
"Tokyo, TY, Japan",35.6806291,139.6310974
"Iasi, IS, Romania",47.1615416,27.5837224
"Hoofddorp, NH, Netherlands",52.25,5.75
"American Fork, UT",40.3768064,-111.7959146
"Reno, NV",39.5261206,-119.8126581
"Raanana, HM, Israel",32.1843773,34.8846351
"Allen, TX",33.1031744,-96.6705503
"Moscow, MC, Russia",55.6401099,37.5328602
"Lund, SN, Sweden",60.4759508,15.7831357
"Eagan, MN",44.818173,-93.1659179
"Annapolis Junction, MD",39.1254596,-76.7953237
"Parker, CO",39.5184514,-104.7612638
"Needham, MA",42.2802645,-71.2360624
"Chicago Heights, IL",41.5062834,-87.6357079
"Reedsville, PA",40.5832717,-76.2087023
"Bristol, CT",41.6735209,-72.9464859
"Wuppertal, NW, Germany",51.264018,7.1780374
"Geneva, GE, Switzerland",46.2017559,6.1466014
"Fairfield, CT",41.1412078,-73.2637258
"Guatemala, GU, Guatemala",14.6222328,-90.5185188
"Andover, MA",42.65717,-71.1408776
"West Valley City, UT",40.6967254,-111.986821
"Kiev, KC, Ukraine",50.4500336,30.5241361
"Venice, VE, Italy",45.4371908,12.3345898
"Lindon, UT",40.3432857,-111.72076
"Nice, PR, France",43.7009358,7.2683912
"Cambridge, MA, United States",42.3750997,-71.1056157
"South San Francisco, CA",37.6535403,-122.4168664
"Chester Springs, PA",40.0951038,-75.6168681
"Arvada, CO",39.8005505,-105.0811573
"Dusseldorf, NW, Germany",51.2254018,6.7763137
"San Ramon, CA",37.7648021,-121.9544387
"Menomonee Falls, WI",43.1790768,-88.1170784
"Holtsville, NY",40.8153762,-73.0451085
"Redondo Beach, CA",33.8455911,-118.3886766
"Kalamazoo, MI",42.291707,-85.5872286
"Winchester, EN, United Kingdom",54.9708424,-1.6283646
"Northampton, EN, United Kingdom",52.2385239,-0.902493
"Brooklyn Park, MN",45.1004807,-93.3443585
"Guangzhou, GD, China",23.1301964,113.2592945
"Tracy, CA",37.7385507,-121.4201395
"Bangalore, KA, India",12.9767936,77.590082
"Durham, NC",35.996653,-78.9018053
"Mc Lean, VA",29.672913,-95.360021
"Frankford, DE",38.518038,-75.233764
"Glen Allen, VA",37.6653991,-77.5048404
"Gdynia, PM, Poland",54.5233304,18.6040279
"Brea, CA",33.9170444,-117.888855
"Grand Rapids, MI",42.9632405,-85.6678639
"Guadalajara, JA, Mexico",19.2861559,-99.1852963
"Hopewell Junction, NY",41.5839824,-73.8087442
"Moscow, PA",41.3367497,-75.5185191
"Florianopolis, SC, Brazil",-27.5973002,-48.5496098
"Fribourg, FR, Switzerland",46.8056255,7.1611125
"Jeddah, MK, Saudi Arabia",25.0,45.0
"Cupertino, CA",37.3228934,-122.0322895
"Fairfax, VA",38.8462236,-77.3063733
"El Segundo, CA",33.917028,-118.4156337
"Novi Sad, VO, Yugoslavia",45.320206,19.707338
"College Station, TX",30.5955289,-96.3071042
"Fort Worth, TX",32.753177,-97.3327459
"Friday Harbor, WA",48.5342662,-123.017124
"Los Angeles, CA",34.0536909,-118.242766
"Mill Valley, CA",37.9060368,-122.5449763
"Mar del Plata, BA, Argentina",-37.9977225,-57.5482703
"Mountain View, CA",37.3893889,-122.0832101
"Claymont, DE",39.8006685,-75.4596404
"Vermont, IL",40.2942106,-90.4279033
"Costa Mesa, CA",33.6633386,-117.903317
"California, PA",40.0657724,-79.8918436
"West Orange, NJ",40.7987113,-74.2390353
"San Diego, TX",27.7639145,-98.2388953
"Fort Lauderdale, FL",26.1223084,-80.1433786
"Istanbul, IB, Turkey",41.0091982,28.9662187
"San Marcos, CA",33.1433723,-117.1661449
"Stratford, CT",41.1845415,-73.1331651
"Toledo, OH",41.6529143,-83.5378173
"Bridgewater, NJ",40.5598127,-74.5517146
"Natick, MA",42.2836393,-71.346996
"Greenville, SC",34.851354,-82.3984882
"West Palm Beach, FL",26.715364,-80.0532942
"Plymouth, MA",41.9426657,-70.7618592
"Issy-les-Moulineaux, IL, France",48.8250508,2.273457
"Schenectady, NY",42.8142432,-73.9395687
"Dayton, OH",39.7589478,-84.1916069
"Riyadh, RI, Saudi Arabia",25.0,45.0
"Cluj-Napoca, CJ, Romania",46.769379,23.5899542
"Bangkok, BM, Thailand",15.5,101.0
"Boone, NC",36.2165362,-81.6746158
"Lexington Park, MD",39.3698861,-76.9768419
"Mount Laurel, NJ",39.934002,-74.8909988
"Palm Bay, FL",27.9946969,-80.6366144
"Manassas, VA",38.7509488,-77.4752667
"Londonderry, OH",40.1547909,-81.3003885
"Debrecen, HB, Hungary",47.531399,21.6259782
"Piscataway, NJ",40.5462553,-74.4660408
"Montevideo, MO, Uruguay",-34.8937595,-56.0963329
"Amman, AM, Jordan",31.9515694,35.9239625
"Pune, MH, India",18.521428,73.8544541
"Somerville, MA",42.3875968,-71.0994968
"Egypt, AR",35.8681298,-90.9456751
"Raleigh, NC",35.7803977,-78.6390989
"Gie, HE, Germany",50.7615504,9.7751304
"Belmont, CA",37.5164926,-122.2941914
"Germantown, IL",38.5538072,-89.5382505
"Shingle Springs, CA",38.671387,-120.9405447
"Berlin, GA",31.0682441,-83.623778
"San Rafael, CA",37.9735346,-122.5310874
"Missouri City, MO",39.2408369,-94.2880031
"Naperville, IL",41.7728699,-88.1479278
"Chandler Heights, AZ",33.2119977,-111.6862444
"Windsor Locks, CT",41.9281305,-72.643631
"Suwon, KG, Korea, South",36.5,127.75
"Spokane, WA",47.6571934,-117.42351
"Roswell, GA",34.02332,-84.360022
"Burbank, CA",34.1812089,-118.307201
"San Carlos, CA",37.504936,-122.261823
"Highland Park, NJ",40.4959379,-74.4243178
"Toronto, ON, Canada",43.6534817,-79.3839347
"Los Gatos, CA",37.226611,-121.9746797
"Heidelberg, BW, Germany",49.4093582,8.694724
"Bucharest, BU, Romania",44.4356444,26.1009263
"Florham Park, NJ",40.7881643,-74.3891647
"Sindelfingen, BW, Germany",48.7084162,9.0035455
"Birmingham, EN, United Kingdom",52.5232123,-1.8431812
"Roanoke, TX",33.0040126,-97.2258483
"Gilbert, AZ",33.3527632,-111.789037
"Sunnyvale, CA",37.3688301,-122.036349
"Poland, IN",39.4442104,-86.950845
"Bowling Green, OH",41.3747744,-83.6513229
"Stockholm, ST, Sweden",59.366141,18.059593
"Vienna, VA",38.9013729,-77.2651762
"Iselin, NJ",40.569335,-74.3151125
"Bloomfield, CT",41.826488,-72.7300945
"King of Prussia, PA",40.705896,-78.003616
"Hamburg, HH, Germany",53.6074318,9.9042454
"Fredericton, NB, Canada",45.9484558,-66.6530224
"Falls Church, VA",38.882334,-77.1710914
"Springfield, VA",38.1320798,-78.427788
"Morristown, NJ",40.7970382,-74.4809868
"Ho Chi Minh City, HC, Vietnam",16.16667,107.83333
"Colorado City, CO",37.9452861,-104.8352628
"Bedok, SG, Singapore",1.3239765,103.930216
"Cape Town, WC, South Africa",-33.928992,18.417396
"Kirkland, WA",47.6765382,-122.2070775
"Raleigh, ND",46.3577806,-101.3065277
"Azusa, CA",34.1338751,-117.9056046
"O Fallon, MO",38.7902503,-90.7033292
"Ogden, UT",41.2230048,-111.9738429
"San Diego, CA",32.7174202,-117.1627728
"Wellesley, MA",42.2964859,-71.2925571
"Aarhus, AR, Denmark",56.0,10.0
"Calgary, AB, Canada",51.0460954,-114.065465
"Nizhniy Novgorod, NZ, Russia",56.3264816,44.0051395
"Rio Rancho, NM",35.2702448,-106.6329806
"Saint Charles, MO",38.783855,-90.481677
"Rocklin, CA",38.7907339,-121.2357828
"Provo, UT",40.2337289,-111.6587085
"Banganapalle, AP, India",15.3205734,78.224988
"Jamaica Beach, TX",29.1831247,-94.9729396
"Ottawa, ON, Canada",45.4208777,-75.6901106
"Virgilina, VA",36.5434739,-78.7750062
"Zurich, ZH, Switzerland",47.3744489,8.5410422
"Dublin, OH",40.0992294,-83.1140771
"Schaumburg, IL",42.0333608,-88.083406
"Dnepropetrovsk, DP, Ukraine",48.4680221,35.0417711
"Rabat, RA, Morocco",34.0164652,-6.8356701
"Rochester, NY",43.157285,-77.615214
"Chantilly, VA",38.88668,-77.44566
"West Chester, PA",39.9597213,-75.6059638
"Buenos Aires, DF, Argentina",-34.6252938,-58.4302329
"Bloomington, IN",39.1670396,-86.5342881
"Panchiao, TP, Taiwan",25.0096703,121.4590989
"Cedar Rapids, IA",41.9758872,-91.6704053
"Winnipeg, MB, Canada",49.8955367,-97.1384584
"Giza, JZ, Egypt",27.0,30.0
"Mason, OH",39.3600586,-84.309939
"Mississauga, ON, Canada",43.5896231,-79.6443879
"NYCHUM, QL, Australia",-25.0,135.0
"Trondheim, ST, Norway",63.433177,10.3909678
"Rahway, NJ",40.6081591,-74.2776468
"Alphen Aan Den Rijn, ZH, Netherlands",52.1131403,4.6408412
"Oshawa, ON, Canada",43.8975558,-78.8635324
"Detroit, ME",44.793044,-69.296951
"Gdansk, PM, Poland",54.3706858,18.6129821
"Taunton, MA",41.9019257,-71.0931485
"Tampines, SG, Singapore",1.3546528,103.9435712
"Roseland, NJ",40.8206555,-74.2937595
"Garner, NC",35.7112642,-78.6141709
"Beer-Sheva, HD, Israel",31.2474137,34.7921973
"San Juan, PR, Puerto Rico",18.465299,-66.116666
"Hudson, MA",42.3913088,-71.5678236
"La Canada Flintridge, CA",34.1998302,-118.2005236
"Las Tablas, LS, Panama",9.0,-80.0
"Alameda, CA",37.6090291,-121.899142
"Sheffield, EN, United Kingdom",53.5085429,-1.4805667
"Odessa, OD, Ukraine",46.4843023,30.7322878
"Camas, WA",45.5863014,-122.403277
"Rogers, AR",36.3320197,-94.1185366
"Greenville, TX",33.1384488,-96.1108066
"Chisinau, CE, Moldova",46.8387497,28.6129702
"Hopewell, NJ",40.3892726,-74.7618285
"Bratislava, BL, Slovakia",48.1516988,17.1093063
"Edmonton, AB, Canada",53.5462055,-113.491241
"Dallas Center, IA",41.6844045,-93.9622388
"Temecula, CA",33.4946353,-117.1473661
"Woodstock, ON, Canada",43.1301111,-80.7562977
"Dublin, DN, Ireland",53.3464127,-6.2940176
"Menlo Park, CA",37.4519671,-122.177992
"Belgrade, SR, Serbia",44.8022292,20.4753965
"Utrecht, UT, Netherlands",52.25,5.75
"Fort Mill, SC",35.0073697,-80.9450759
"Maple Shade, NJ",39.9526127,-74.9923915
"Phoenix, AZ",33.4484367,-112.074141
"Clearfield, UT",41.1135837,-112.0244841
"Redmond, UT",39.0060248,-111.861877
"Colorado Springs, CO",38.8339578,-104.825348
"Greenwood Village, CO",39.6172101,-104.950814
"Tel Aviv, Israel",32.0852997,34.7818064
"Basel, BS, Switzerland",47.5581077,7.5878261
"Seabrook, NH",42.8846621,-70.8601753
"West McLean, VA",38.9320553,-77.1841468
"Gurgaon, HR, India",28.4282624,77.0027001
"Atlanta, NY",42.5542347,-77.4724875
"Helena, MT",46.5927425,-112.036277
"Hillsboro, OR",45.5228939,-122.989827
"Charlotte, NC",35.2272086,-80.8430827
"Tainan, KH, Taiwan",22.9912348,120.184982
"Reidsville, NC",36.3548586,-79.6644748
"San Mateo, FL",30.4435717,-81.6323184
"New Braunfels, TX",29.7028266,-98.1257348
"Bloomington, MN",44.8322405,-93.3204872
"Usaquen, CU, Colombia",4.695219,-74.0309322
"Baton Rouge, LA",30.4507936,-91.1391153
"Valbonne, PR, France",43.641141,7.0086255
"Sandisfield, MA",42.1115567,-73.1399665
"Newark, NJ",40.735657,-74.1723667
"Tel Aviv, TA, Israel",32.0852997,34.7818064
"Delaware City, DE",39.5778901,-75.588815
"Yangon, YA, Burma",20.2217134,92.8557919
"Lake Charles, LA",30.2305095,-93.2169807
"York, PA",39.9624624,-76.727707
"Los Altos, CA",37.3790629,-122.116578
"Fresno, CA",36.7394421,-119.7848307
"Plymouth, MI",42.3712,-83.4675021
"Kaliningrad, KN, Russia",60.0,100.0
"Italy, TX",32.1840381,-96.8847194
"Bielefeld, NW, Germany",52.0191005,8.531007
"Abingdon, MD",39.4623305,-76.2791236
"Bala Cynwyd, PA",40.0076125,-75.2340695
"Northbrook, IL",42.128704,-87.8265089
"Cape Girardeau, MO",37.3034933,-89.5230357
"Taichung City, CN, China",35.0,105.0
"Herndon, VA",38.9695316,-77.3859479
"Miami Beach, FL",25.7929198,-80.1353006
"Halifax, NS, Canada",44.648618,-63.5859487
"Hamilton, NJ",40.2070573,-74.0812506
"Providence, RI",41.8239891,-71.4128343
"Julianadorp, NH, Netherlands",52.25,5.75
"London, EN, United Kingdom",51.4053758,-0.4235674
"Franklin, WI",42.888627,-88.0384195
"St. Louis, MO",38.6280278,-90.1910154
"Rome, LA, Italy",42.83333,12.83333
"Kfar saba, HM, Israel",32.1819482,34.899444
"Horsham, PA",40.1784422,-75.1285061
"Ulm, BW, Germany",48.3974003,9.9934336
"Dresden, SN, Germany",51.0493286,13.7381437
"Reston, VA",38.96146,-77.3418
"Oulu, OU, Finland",64.0,26.0
"Fremont, CA",37.5482697,-121.988571
"Vancouver, BC, Canada",49.2608724,-123.113952
"Yorktown Heights, NY",41.2709274,-73.7776336
"Accra, AA, Ghana",5.5571096,-0.2012376
"Colorado City, AZ",36.9902621,-112.97577
"Medan, SU, Indonesia",3.5896654,98.6738261
"Hahira, GA",30.9913064,-83.3726575
"Lima, LI, Peru",-12.0002116,-76.8330796
"Thiruvananthapuram, KL, India",8.4882267,76.947551
"Thornton, CO",39.8695516,-104.985181
"Ridley Park, PA",39.8812236,-75.3237993
"Malaga, AN, Spain",36.7213028,-4.4216366
"Karlsruhe, BW, Germany",49.0068705,8.4034195
"Beverly, MA",42.5584284,-70.8800491
"Torrance, CA",33.8358492,-118.3406288
"Hermitage, TN",36.1961664,-86.6224959
"Paterson, NJ",40.9167654,-74.171811
"Los Alamitos, CA",33.8038865,-118.0772433
"Princeton, NJ",40.3492744,-74.6592958
"Orange, CA",33.7500378,-117.8704931
"Leixlip, KE, Ireland",53.3644766,-6.4897438
"Ankara, AN, Turkey",39.9207886,32.8540482
"Bournemouth, EN, United Kingdom",54.9979067,-1.692613
"Gaithersburg, MD",39.1399187,-77.1929215
"Columbia, MD",38.7932703,-77.0009707
"Kansas City, MO",39.100105,-94.5781416
"Bothell, WA",47.7623204,-122.2054035
"Telford, EN, United Kingdom",52.7005527,-2.5167493
"Newark, DE",39.6775927,-75.7630866
"Trivandrum, KL, India",8.4882267,76.947551
"Redmond, WA",47.6694141,-122.1238767
"Ontario, CA",34.065846,-117.6484304
"Waltham, MA",42.3756401,-71.2358004
"Owego, NY",42.1034528,-76.2622669
"Palm Springs, CA",33.8246269,-116.540303
"Toulouse, MI, France",43.6150562,1.3041181
"Gothenburg, VG, Sweden",62.0,15.0
"Monroe, LA, United States",32.5102427,-92.1032411
"Wausau, WI",44.9596017,-89.6298239
"Fukuoka, FK, Japan",33.5892548,130.3994222
"Davie, FL",26.0628665,-80.2331038
"Munich, BY, Germany",48.1371079,11.5753822
"La Crosse, WI",43.8122836,-91.2514355
"Teaneck, NJ",40.8860164,-74.0072568
"Plymouth Meeting, PA",40.102332,-75.2743467
"Milford, MI",42.5917805,-83.6000696
"Wilmington, NC",34.2257282,-77.9447107
"Hilbert, WI",44.140268,-88.1639908
"East Rutherford, NJ",40.833989,-74.0970865
"Johnston, IA",41.6731523,-93.6973395
"Guildford, EN, United Kingdom",54.9806252,-1.5802047
"Stockport, EN, United Kingdom",53.4077455,-2.1601108
"Paris, IL, France",48.8588897,2.320041
"Oregon, OH",41.6436603,-83.4868768
"Merrimack, NH",43.3260376,-71.6854725
"Sunrise, FL",26.1666888,-80.2787573
"Taoyuan, TA, Taiwan",25.0162567,121.399726
"McLean, NE",42.386557,-97.4685993
"Saint Petersburg, SP, Russia",59.8300154,30.309047
"Bogota, DC, Colombia",4.6529539,-74.0835643
"Feltham, EN, United Kingdom",51.4343588,-0.4398461
"Oregon City, OR",45.3573429,-122.6067583
"Shelton, CT",41.3164856,-73.0931641
"Luxembourg, LU, Luxembourg",49.6112768,6.129799
"Pontiac, MI",42.6389216,-83.2910468
"Nanjing, JS, China",32.0615513,118.7915619
"Sacramento, PA",40.6345309,-76.5888514
"Richmond, BC, Canada",49.163168,-123.137414
"Elk Grove, CA",38.4087993,-121.3716178
"Taichung City, TP, Taiwan",24.1060508,120.6152863
"Sembawang, SG, Singapore",1.4490928,103.8200555
"Livermore, CA",37.6820583,-121.768053
"Marlborough, MA",42.3459271,-71.5522874
"Dearborn, MI",42.3222599,-83.1763145
"Everett, WA",47.9793437,-122.2127011
"La Jolla, CA",32.8401623,-117.2740777
"Temple, TX",31.098207,-97.3427847
"Saint Petersburg, FL",27.7703796,-82.6695085
"Santa Clarita, CA",34.4127963,-118.5538088
"Skillman, NJ",40.4201055,-74.7146049
"Portland, ME",43.6592687,-70.2572642
"Krakow, MA, Poland",50.0619474,19.9368564
"Sparks, NV",39.5404679,-119.7487235
"Parsippany, NJ",40.8578772,-74.4259866
"Rome, NY",43.2128473,-75.4557304
"Boulder, CO",40.0149856,-105.270545
"Scottsdale, AZ",33.4942189,-111.926018
"Peachtree City, GA",33.3967829,-84.5957629
"San Fernando, LB, Philippines",13.0,122.0
"Memphis, TN",35.1460249,-90.0517638
"Bend, OR",44.0581728,-121.3153096
"Berlin, CT",41.621488,-72.7456519
"Buda, TX",30.082475,-97.8417144
"Germantown, MD",39.1731621,-77.2716502
"Stuttgart, BW, Germany",48.7784485,9.1800132
"Iowa City, IA",41.6612561,-91.5299106
"McLean, TX",35.2325495,-100.5998558
"Renton, WA",47.4799078,-122.2034496
"Seoul, KG, Korea, South",36.5,127.75
"Kochi, KL, India",9.9674277,76.2454436
"Indian Lake, NY",43.782497,-74.272041
"San Bruno, CA",37.6261715,-122.433243
"Vancouver, WA",45.6306954,-122.6744557
"Norwich, EN, United Kingdom",54.75844,-2.69531
"Irvine, PA",41.8392258,-79.2683812
"Dearborn Heights, MI",42.3369816,-83.2732627
"California Hot Springs, CA",35.8802282,-118.6736995
"Albuquerque, NM",35.0841034,-106.650985
"Boxborough, MA",42.4827512,-71.5142726
"Kent, WA",47.3826903,-122.2270272
"Eatontown, NJ",40.2962222,-74.0509725
"Newtown Square, PA",39.9868117,-75.4007633
"Pittsburgh, PA",40.4416941,-79.9900861
"Shevlin, MN",47.5300348,-95.2592685
"Bergenfield, NJ",40.9275987,-73.9973608
"Boston, MA",42.3554334,-71.060511
"Milano, LO, Italy",41.897209,12.4923275
"Kanata, ON, Canada",45.3128048,-75.8940505
"Hyderabad, AP, India",15.8147021,78.0265024
"Santa Rosa Beach, FL",30.3466423,-86.2307992
"Ashburn, VA",39.0049709,-77.4911968
"Chennai, TN, India",22.0,79.0
"Elkridge, MD",39.2128338,-76.7137155
"Mechanicsburg, PA",40.2101972,-77.0047276
"Mountain View, AR",35.8684075,-92.1176521
"St. Petersburg, FL",27.7703796,-82.6695085
"Daly City, CA",37.6904826,-122.47267
"Sofia, SF, Bulgaria",42.66667,25.25
"Whitehouse Station, NJ",40.61538,-74.7704409
"Staines, EN, United Kingdom",51.432328,-0.5029086
"Westborough, MA",42.2694308,-71.6129907
"Berlin, BE, Germany",51.5,10.5
"Coppell, TX",32.9552598,-97.0155703
"Hangzhou, ZJ, China",30.2489634,120.2052342
"Madrid, MD, Spain",40.0,-4.0
"Basingstoke, EN, United Kingdom",51.2691262,-0.7858858
"St Paul, MN",44.9497487,-93.0931028
"Carpinteria, CA",34.3988838,-119.5184564
"Moorestown, NJ",39.9670569,-74.9426677
"Woodland Hills, CA",34.1684364,-118.6058382
"Van Nuys, CA",34.1866193,-118.4486675
"Dublin, IN",39.8120306,-85.2088645
"Lexington, KY",38.0464066,-84.4970393
"London, KY",37.1289771,-84.0832646
"Palo Alto, CA",37.4443293,-122.1598465
"Roseville, MN",45.0060767,-93.1566107
"Warren, MI",42.4932575,-83.0062746
"Atlanta, GA",33.7489924,-84.3902644
"Kitchener, ON, Canada",43.451291,-80.4927815
"Stamford, CT",41.0534302,-73.5387341
"Waukesha, WI",43.0116784,-88.2314813
"Claremont, CA",34.0966764,-117.7197785
"Fort Knox, KY",37.8976552,-85.9038521
"hod hasharon, HM, Israel",32.16256,34.887604
"China, ME",44.4790605,-69.5175458
"Dublin, CA",37.7021521,-121.9357918
"Cambridge, MA",42.3750997,-71.1056157
"Middletown, NJ",40.3898188,-74.1162152
"Nottingham, EN, United Kingdom",53.5427177,-1.4229395
"Pascagoula, MS",30.3646795,-88.5585995
"Nurnberg, BY, Germany",49.453872,11.077298
"Lansing, MI",42.7337712,-84.5553805
"Deerfield, IL",42.1711365,-87.8445119
"Haifa, HA, Israel",32.8191218,34.9983856
"Cary, NC",35.7882893,-78.7812081
"Point Richmond, CA",37.9240915,-122.3891383
"Tucson, AZ",32.2228765,-110.9748477
"Murfreesboro, TN",35.8460396,-86.3921096
"Richmond, CA",37.9357576,-122.347748
"Inwood, WV",39.3579068,-78.040009
"Queretaro, QE, Mexico",20.58806,-100.38806
"Fort George G Meade, MD",39.1022704,-76.7462558
"Bern, BE, Switzerland",46.9484742,7.4521749
